Map Name,Personal Best,Rank,Bonus,Date,Start Speed
surf_aux,00:11.1680,11,2,2019-03-06 20:06:17,362 u/s
surf_axiom2,00:23.4258,2,1,2019-02-21 14:18:30,604 u/s
surf_banana,00:10.0547,5,1,2022-09-25 19:14:18,492 u/s
surf_banger,00:12.7031,8,1,2022-01-22 14:04:55,509 u/s
surf_beginner2,00:19.5469,1,1,2020-10-27 14:43:33,506 u/s
surf_beginner2,00:04.5469,7,2,2021-06-08 12:06:28,513 u/s
surf_beginner2,00:08.9063,7,3,2021-06-08 11:50:28,513 u/s
surf_beginner2,00:12.3984,2,4,2020-03-17 04:38:48,516 u/s
surf_beginner_hell,00:14.2617,6,1,2019-12-25 16:33:51,516 u/s
surf_believe_fix,00:17.1094,2,1,2020-09-22 00:03:58,509 u/s
surf_believe_fix,00:06.0469,37,2,2018-03-21 21:00:07,474 u/s
surf_believe_fix,00:15.7617,14,3,2018-03-27 00:13:10,-1 u/s
surf_beneath,00:18.7266,5,1,2023-02-04 15:30:30,370 u/s
surf_benevolent,00:12.1172,36,1,2018-02-13 13:17:19,490 u/s
surf_beverages_remix_go,00:24.1523,843,1,2018-01-20 14:51:15,463 u/s
surf_beverages_remix_go,00:11.7305,62,3,2018-01-20 14:50:44,486 u/s
surf_beyer2,00:17.2617,52,1,2018-02-24 17:49:29,510 u/s
surf_beyer2,00:19.9688,48,2,2018-02-24 17:19:00,476 u/s
surf_beyer2,00:25.1602,47,3,2018-01-29 15:30:08,-1 u/s
surf_beyer2,00:15.8438,48,4,2018-02-24 17:21:43,476 u/s
surf_beyer2,00:15.0820,11,5,2019-07-22 04:06:22,-1 u/s
surf_beyond,00:16.8047,104,1,2019-10-06 16:22:45,492 u/s
surf_beyond,00:19.9805,22,2,2019-10-06 16:55:33,492 u/s
surf_bob,00:10.9688,16,1,2020-10-06 01:39:13,363 u/s
surf_bonkers_v2,00:02.2969,55,1,2019-08-22 01:27:06,356 u/s
surf_bonkers_v2,00:06.5273,30,3,2020-10-25 12:17:26,-1 u/s
surf_boomer,00:09.5391,14,1,2023-01-06 17:19:47,517 u/s
surf_botanica,00:05.4141,10,4,2023-04-08 20:30:39,501 u/s
surf_boy_fixed,00:12.9141,3,2,2021-04-02 15:45:10,432 u/s
surf_boy_fixed,00:13.8867,13,3,2021-02-21 16:46:09,379 u/s
surf_brodderlands,00:10.1250,12,1,2022-06-01 21:57:20,493 u/s
surf_brother,00:15.2578,9,1,2022-11-10 22:23:52,493 u/s
surf_brother,00:11.7891,1,2,2022-11-12 19:37:18,0 u/s
surf_brother,00:18.4570,4,4,2022-11-12 19:00:30,0 u/s
surf_bullet_csgo,00:14.5195,5,1,2019-09-28 17:37:25,505 u/s
surf_bumpybusride,02:04.1602,224,1,2018-05-25 21:10:29,500 u/s
surf_caged,00:03.2695,8,1,2022-07-08 17:50:51,454 u/s
surf_caged,00:10.3008,12,2,2022-07-04 21:25:12,511 u/s
surf_caged,00:06.7500,5,3,2022-07-04 20:38:47,368 u/s
surf_caged,00:07.9102,6,4,2022-07-04 20:41:43,368 u/s
surf_calibration,01:19.9102,1,1,2019-07-05 06:53:16,422 u/s
surf_calycate2,00:11.3320,159,1,2017-11-09 10:18:41,480 u/s
surf_calycate_ksf,00:08.1445,62,1,2018-09-24 20:01:42,461 u/s
surf_calzone,00:08.0625,25,1,2019-01-13 20:07:35,614 u/s
surf_castlewalls,00:11.2852,15,1,2023-01-24 12:44:15,481 u/s
surf_castlewalls,00:12.7852,6,2,2023-01-24 12:48:22,481 u/s
surf_cavemissile_fix,00:16.2773,35,2,2021-06-07 10:25:05,-1 u/s
surf_cavemissile_fix,01:06.0703,573,4,2019-09-10 22:18:08,486 u/s
surf_cement,00:19.9570,6,2,2022-10-11 07:45:38,999 u/s
surf_cement,00:09.6094,89,3,2020-02-10 07:11:47,502 u/s
surf_cement,00:13.1719,22,5,2020-02-10 07:01:27,502 u/s
surf_cement,00:14.2500,20,6,2022-04-21 20:57:57,499 u/s
surf_cement,00:29.1328,3,7,2022-04-21 21:35:53,499 u/s
surf_chasm_go,00:11.6602,10,1,2021-03-20 15:17:14,500 u/s
surf_chasm_go,00:06.3750,7,2,2021-03-20 14:53:48,492 u/s
surf_chasm_go,00:07.6875,11,3,2021-03-20 15:03:26,492 u/s
surf_chasm_go,00:09.5625,11,4,2018-08-04 03:54:55,443 u/s
surf_chateau_fix,00:14.1914,20,1,2018-12-18 21:07:00,388 u/s
surf_christmas_fix,00:14.3906,7,2,2019-12-07 23:06:08,-1 u/s
surf_cinnamon,00:16.5234,9,1,2018-06-25 15:49:05,506 u/s
surf_cinnamon,00:13.3711,14,2,2022-04-22 21:03:50,315 u/s
surf_cinnamon,00:06.8438,41,3,2018-06-22 20:40:05,495 u/s
surf_classics3,00:09.8438,37,1,2019-07-17 16:36:57,508 u/s
surf_classics3,00:15.1289,155,2,2019-07-17 16:30:40,-1 u/s
surf_classics3,00:07.7227,34,3,2019-12-06 04:27:10,495 u/s
surf_classics3,00:18.4336,104,4,2019-12-06 04:50:01,495 u/s
surf_classics3,00:12.9844,2,5,2022-06-04 20:31:36,-1 u/s
